epoch,train_loss,val_loss,train_acc,val_acc,train_vad_mse,val_vad_mse
1,1.1406128228639971,1.075975446046981,31.61377965098053,36.946224575090554,0.275440375596484,0.21694592182087688
2,1.0661107966788361,1.0544185401064106,36.34400362255739,39.063806074115355,0.23393957442987734,0.2205178966762218
3,1.046609530868403,1.0381237737900388,38.08213452227525,40.08080245193647,0.22654953396532743,0.2143641256653102
4,1.039200093937345,1.0280991966745494,38.80664599951235,40.59626636946225,0.22383939964335853,0.2124942287934565
5,1.0324238703351776,1.024070995571339,38.74394789090529,40.331568682084146,0.22152817232704375,0.20911355840816961
6,1.0276622581057135,1.0222600999131668,39.127102999059524,40.0947339091669,0.2209744282846727,0.2107333518169095
7,1.027451257397709,1.0222643761508232,38.99125709707757,40.331568682084146,0.22053189811302984,0.21106576197574625
8,1.0249841732277902,1.0164878009694867,39.18283465115469,40.359431596545,0.2193212348528057,0.20986808239754323
9,1.0212777846374597,1.0103992091870941,39.67745306349925,40.87489551407077,0.21899130226907326,0.20674518584809473
10,1.0209645918323627,1.0208138169440548,39.37092897697586,39.80217330732795,0.21816424023202374,0.20992611239837333
11,0.8520407360752336,0.7402042650279745,50.31871538541921,56.492059069378655,0.17812537735448383,0.14668946825297532
12,0.7370780548433419,0.6801155267563541,57.30955449510606,59.91919754806353,0.15250519742745333,0.13191049681168743
13,0.6798884896499277,0.6624412032882724,60.86244731617263,61.70242407355809,0.14109304024607675,0.1288220508238383
14,0.6445654641280992,0.6270122574889554,63.07429725869936,63.75034828643076,0.1330426161432585,0.1202739671004557
15,0.6150838117424258,0.6338965071249852,64.96917342993487,63.95932014488716,0.1280120664954451,0.1200347152761126
16,0.5882092089058296,0.6171902008024992,66.27886725417117,65.12956255224297,0.12229002774890123,0.11645110244903945
17,0.5652971629443306,0.6055494115020321,67.87418579539516,65.9375870716077,0.11872250044133456,0.11537428620576332
18,0.5398422152401344,0.6079650829191756,69.16646347835173,65.86792978545556,0.1124336671059275,0.1147297142749339
19,0.5216834141576211,0.6093783956185906,70.2985126615347,66.41125661744218,0.11105205649655221,0.1137941025395309
20,0.5038526669509692,0.5986553597371135,71.32258176878331,67.06603510727223,0.10743112747613465,0.11131146082044703
21,0.4858815979984131,0.6047968094327808,72.52429551708524,66.70381721928113,0.10442271468567689,0.11183006896645623
22,0.4695818065800486,0.607945925168759,73.39161935281619,67.47004736695459,0.10134256580525092,0.1112840295299492
23,0.4531287112188233,0.6080797166291592,74.41568846006479,67.88799108386738,0.09879635264454015,0.11126200419611636
24,0.4400409184611985,0.6127950121871139,75.12975025253404,67.65115631095013,0.09576827300948927,0.11116267645121676
25,0.42747435654059285,0.6124740012187874,75.8577449580271,67.47004736695459,0.0939912133018397,0.11073050634787146
26,0.41160968291201944,0.6144718509332269,76.74596816329374,68.20841460016717,0.09133337399940979,0.11049021398071694
27,0.4017594784896464,0.6215032175578902,77.35553310808457,67.97157982724993,0.08971942538076094,0.11051554747123633
28,0.39090320378342824,0.6338662250643283,78.08352781357762,68.06910002786292,0.08751168235605437,0.11213483048223816
29,0.3864434650188565,0.6344161166158397,77.93374899857187,68.12482585678462,0.08715114222304327,0.11227638604102937
30,0.37706752104854796,0.6284036091734878,78.81152251907068,68.38952354416273,0.08553613241936157,0.11040356358002244
31,0.3686249945105317,0.6356617024382659,79.21906022501655,68.19448314293675,0.0839840776073375,0.11128848125185586
32,0.3647249837827045,0.6372762480008919,79.88784005015849,68.38952354416273,0.08366613260123937,0.11166463723093008
33,0.3598023695842195,0.637913889985169,79.92615556097391,68.06910002786292,0.08303227580104745,0.11101016837411222
34,0.354782200237956,0.6449403124572957,80.31976035389599,68.31986625801059,0.08162814044374932,0.11083837112296471
35,0.3444819709240461,0.6481537894073841,80.84572782054408,68.29200334354974,0.0798632821736065,0.11226822462229602
36,0.3448507234553717,0.6507411680917824,80.75864711414539,68.38952354416273,0.07982452989520633,0.11261278338136926
37,0.34417241038484936,0.652905072258637,80.79696262496081,67.95764837001951,0.07877036905899346,0.11279888193955463
38,0.33997336478036866,0.6507100669288002,81.10348671148421,68.40345500139314,0.07984426932903069,0.11208974701904617
39,0.33655218879603066,0.6502929993171608,81.3229300916089,68.59849540261911,0.07845142976544747,0.11156613366530005
40,0.338695852587908,0.6510879436952878,81.03382214636525,68.30593480078016,0.07849961930765606,0.11185691894683163
